name,shape,dtype,Data size,size_bytes,comp_time_ms,decomp_time_ms,comp_throughput_gb_s,decomp_throughput_gb_s,compressed_bytes,compression_ratio
decoder.final_layernorm.weight,[4096],float32,16.0 KB,16384,0.064,0.06,0.25,0.27,14320,0.874
decoder.layers.0.mlp.linear_fc1.layer_norm.weight,[4096],float32,16.0 KB,16384,0.064,0.059,0.25,0.28,14352,0.876
decoder.layers.0.mlp.linear_fc1.weight,"[13696, 4096]",float32,214.0 MB,224395264,0.275,0.237,816.96,947.27,190384032,0.8484
decoder.layers.0.mlp.linear_fc2.weight,"[4096, 6848]",float32,107.0 MB,112197632,0.173,0.141,647.91,797.77,95600688,0.8521
decoder.layers.0.post_mlp.layernorm.weight,[4096],float32,16.0 KB,16384,0.064,0.06,0.26,0.27,14320,0.874
decoder.layers.0.post.self_attn.layernorm.weight,[4096],float32,16.0 KB,16384,0.07,0.06,0.24,0.27,14368,0.877
decoder.layers.0.self_attention.linear_proj.weight,"[4096, 2048]",float32,32.0 MB,33554432,0.1,0.104,334.88,321.3,28545344,0.8507
decoder.layers.0.self_attention.linear_qkv.bias,[2304],float32,9.0 KB,9216,0.06,0.052,0.15,0.18,8480,0.9201
decoder.layers.0.self_attention.linear_qkv.layer_norm.weight,[4096],float32,16.0 KB,16384,0.063,0.063,0.26,0.26,14288,0.8721
decoder.layers.0.self_attention.linear_qkv.weight,"[2304, 4096]",float32,36.0 MB,37748736,0.103,0.106,365.48,355.57,32112288,0.8507
decoder.layers.10.mlp.linear_fc1.layer_norm.weight,[4096],float32,16.0 KB,16384,0.064,0.061,0.26,0.27,14448,0.8818
decoder.layers.10.mlp.linear_fc1.weight,"[13696, 4096]",float32,214.0 MB,224395264,0.27,0.239,829.64,938.96,188565008,0.8403
decoder.layers.10.mlp.linear_fc2.weight,"[4096, 6848]",float32,107.0 MB,112197632,0.17,0.139,658.67,809.58,94348960,0.8409
decoder.layers.10.post_mlp.layernorm.weight,[4096],float32,16.0 KB,16384,0.064,0.065,0.26,0.25,14320,0.874
decoder.layers.10.post.self_attn.layernorm.weight,[4096],float32,16.0 KB,16384,0.072,0.064,0.23,0.26,14320,0.874
decoder.layers.10.self_attention.linear_proj.weight,"[4096, 2048]",float32,32.0 MB,33554432,0.1,0.102,336.56,327.4,28382944,0.8459
decoder.layers.10.self_attention.linear_qkv.bias,[2304],float32,9.0 KB,9216,0.059,0.047,0.16,0.19,8496,0.9219
decoder.layers.10.self_attention.linear_qkv.layer_norm.weight,[4096],float32,16.0 KB,16384,0.071,0.059,0.23,0.28,14432,0.8809
decoder.layers.10.self_attention.linear_qkv.weight,"[2304, 4096]",float32,36.0 MB,37748736,0.102,0.105,370.94,358.81,32201824,0.8531
decoder.layers.11.mlp.linear_fc1.layer_norm.weight,[4096],float32,16.0 KB,16384,0.064,0.064,0.26,0.25,14416,0.8799
decoder.layers.11.mlp.linear_fc1.weight,"[13696, 4096]",float32,214.0 MB,224395264,0.274,0.238,817.68,943.86,188596688,0.8405
decoder.layers.11.mlp.linear_fc2.weight,"[4096, 6848]",float32,107.0 MB,112197632,0.171,0.138,655.18,812.37,94333504,0.8408
decoder.layers.11.post_mlp.layernorm.weight,[4096],float32,16.0 KB,16384,0.071,0.059,0.23,0.28,14320,0.874
decoder.layers.11.post.self_attn.layernorm.weight,[4096],float32,16.0 KB,16384,0.064,0.063,0.26,0.26,14336,0.875
decoder.layers.11.self_attention.linear_proj.weight,"[4096, 2048]",float32,32.0 MB,33554432,0.096,0.105,348.03,320.8,28179888,0.8398
decoder.layers.11.self_attention.linear_qkv.bias,[2304],float32,9.0 KB,9216,0.06,0.047,0.15,0.2,8464,0.9184
decoder.layers.11.self_attention.linear_qkv.layer_norm.weight,[4096],float32,16.0 KB,16384,0.071,0.06,0.23,0.27,14416,0.8799
decoder.layers.11.self_attention.linear_qkv.weight,"[2304, 4096]",float32,36.0 MB,37748736,0.103,0.109,366.19,345.88,31954384,0.8465
decoder.layers.12.mlp.linear_fc1.layer_norm.weight,[4096],float32,16.0 KB,16384,0.07,0.059,0.23,0.28,14400,0.8789
decoder.layers.12.mlp.linear_fc1.weight,"[13696, 4096]",float32,214.0 MB,224395264,0.277,0.235,810.45,954.66,188622112,0.8406
decoder.layers.12.mlp.linear_fc2.weight,"[4096, 6848]",float32,107.0 MB,112197632,0.171,0.139,654.87,807.33,94318192,0.8406
decoder.layers.12.post_mlp.layernorm.weight,[4096],float32,16.0 KB,16384,0.064,0.061,0.26,0.27,14320,0.874
decoder.layers.12.post.self_attn.layernorm.weight,[4096],float32,16.0 KB,16384,0.068,0.06,0.24,0.28,14336,0.875
decoder.layers.12.self_attention.linear_proj.weight,"[4096, 2048]",float32,32.0 MB,33554432,0.095,0.102,352.7,328.86,28224048,0.8411
decoder.layers.12.self_attention.linear_qkv.bias,[2304],float32,9.0 KB,9216,0.059,0.047,0.16,0.2,8480,0.9201
decoder.layers.12.self_attention.linear_qkv.layer_norm.weight,[4096],float32,16.0 KB,16384,0.065,0.062,0.25,0.26,14400,0.8789
decoder.layers.12.self_attention.linear_qkv.weight,"[2304, 4096]",float32,36.0 MB,37748736,0.104,0.106,364.47,357.1,32038816,0.8487
decoder.layers.13.mlp.linear_fc1.layer_norm.weight,[4096],float32,16.0 KB,16384,0.064,0.063,0.26,0.26,14384,0.8779
decoder.layers.13.mlp.linear_fc1.weight,"[13696, 4096]",float32,214.0 MB,224395264,0.271,0.235,828.9,954.25,188687552,0.8409
decoder.layers.13.mlp.linear_fc2.weight,"[4096, 6848]",float32,107.0 MB,112197632,0.174,0.139,645.29,807.83,94335312,0.8408
decoder.layers.13.post_mlp.layernorm.weight,[4096],float32,16.0 KB,16384,0.064,0.06,0.26,0.27,14304,0.873
decoder.layers.13.post.self_attn.layernorm.weight,[4096],float32,16.0 KB,16384,0.065,0.059,0.25,0.28,14304,0.873
decoder.layers.13.self_attention.linear_proj.weight,"[4096, 2048]",float32,32.0 MB,33554432,0.096,0.104,348.48,323.11,28242032,0.8417
decoder.layers.13.self_attention.linear_qkv.bias,[2304],float32,9.0 KB,9216,0.064,0.047,0.14,0.2,8464,0.9184
decoder.layers.13.self_attention.linear_qkv.layer_norm.weight,[4096],float32,16.0 KB,16384,0.064,0.065,0.25,0.25,14400,0.8789
decoder.layers.13.self_attention.linear_qkv.weight,"[2304, 4096]",float32,36.0 MB,37748736,0.108,0.107,348.02,353.05,32001152,0.8477
decoder.layers.14.mlp.linear_fc1.layer_norm.weight,[4096],float32,16.0 KB,16384,0.07,0.059,0.24,0.28,14384,0.8779
decoder.layers.14.mlp.linear_fc1.weight,"[13696, 4096]",float32,214.0 MB,224395264,0.272,0.239,825.85,939.91,188692048,0.8409
decoder.layers.14.mlp.linear_fc2.weight,"[4096, 6848]",float32,107.0 MB,112197632,0.175,0.139,640.21,809.04,94314304,0.8406
decoder.layers.14.post_mlp.layernorm.weight,[4096],float32,16.0 KB,16384,0.064,0.066,0.26,0.25,14320,0.874
decoder.layers.14.post.self_attn.layernorm.weight,[4096],float32,16.0 KB,16384,0.071,0.06,0.23,0.28,14320,0.874
decoder.layers.14.self_attention.linear_proj.weight,"[4096, 2048]",float32,32.0 MB,33554432,0.097,0.104,344.7,321.97,28267152,0.8424
decoder.layers.14.self_attention.linear_qkv.bias,[2304],float32,9.0 KB,9216,0.064,0.047,0.14,0.19,8464,0.9184
decoder.layers.14.self_attention.linear_qkv.layer_norm.weight,[4096],float32,16.0 KB,16384,0.07,0.059,0.23,0.28,14384,0.8779
decoder.layers.14.self_attention.linear_qkv.weight,"[2304, 4096]",float32,36.0 MB,37748736,0.104,0.106,363.96,357.66,31992560,0.8475
decoder.layers.15.mlp.linear_fc1.layer_norm.weight,[4096],float32,16.0 KB,16384,0.063,0.061,0.26,0.27,14352,0.876
decoder.layers.15.mlp.linear_fc1.weight,"[13696, 4096]",float32,214.0 MB,224395264,0.272,0.234,826.09,957.63,188736912,0.8411
decoder.layers.15.mlp.linear_fc2.weight,"[4096, 6848]",float32,107.0 MB,112197632,0.171,0.138,655.02,812.51,94334032,0.8408
decoder.layers.15.post_mlp.layernorm.weight,[4096],float32,16.0 KB,16384,0.065,0.06,0.25,0.27,14304,0.873
decoder.layers.15.post.self_attn.layernorm.weight,[4096],float32,16.0 KB,16384,0.064,0.065,0.25,0.25,14304,0.873
decoder.layers.15.self_attention.linear_proj.weight,"[4096, 2048]",float32,32.0 MB,33554432,0.094,0.106,356.56,317.05,28226928,0.8412
decoder.layers.15.self_attention.linear_qkv.bias,[2304],float32,9.0 KB,9216,0.06,0.047,0.15,0.2,8480,0.9201
decoder.layers.15.self_attention.linear_qkv.layer_norm.weight,[4096],float32,16.0 KB,16384,0.069,0.06,0.24,0.27,14384,0.8779
decoder.layers.15.self_attention.linear_qkv.weight,"[2304, 4096]",float32,36.0 MB,37748736,0.101,0.104,372.72,361.6,32075920,0.8497
decoder.layers.16.mlp.linear_fc1.layer_norm.weight,[4096],float32,16.0 KB,16384,0.071,0.059,0.23,0.28,14352,0.876
decoder.layers.16.mlp.linear_fc1.weight,"[13696, 4096]",float32,214.0 MB,224395264,0.273,0.235,823.06,953.27,188732528,0.8411
decoder.layers.16.mlp.linear_fc2.weight,"[4096, 6848]",float32,107.0 MB,112197632,0.17,0.142,661.5,791.19,94344032,0.8409
decoder.layers.16.post_mlp.layernorm.weight,[4096],float32,16.0 KB,16384,0.063,0.059,0.26,0.28,14304,0.873
decoder.layers.16.post.self_attn.layernorm.weight,[4096],float32,16.0 KB,16384,0.064,0.064,0.26,0.26,14320,0.874
decoder.layers.16.self_attention.linear_proj.weight,"[4096, 2048]",float32,32.0 MB,33554432,0.095,0.102,351.46,328.38,28263440,0.8423
decoder.layers.16.self_attention.linear_qkv.bias,[2304],float32,9.0 KB,9216,0.065,0.047,0.14,0.2,8480,0.9201
decoder.layers.16.self_attention.linear_qkv.layer_norm.weight,[4096],float32,16.0 KB,16384,0.064,0.065,0.26,0.25,14336,0.875
decoder.layers.16.self_attention.linear_qkv.weight,"[2304, 4096]",float32,36.0 MB,37748736,0.107,0.106,351.32,356.72,32092512,0.8502
decoder.layers.17.mlp.linear_fc1.layer_norm.weight,[4096],float32,16.0 KB,16384,0.068,0.059,0.24,0.28,14352,0.876
decoder.layers.17.mlp.linear_fc1.weight,"[13696, 4096]",float32,214.0 MB,224395264,0.273,0.236,820.84,952.43,188544512,0.8402
decoder.layers.17.mlp.linear_fc2.weight,"[4096, 6848]",float32,107.0 MB,112197632,0.172,0.139,653.16,809.43,94293232,0.8404
decoder.layers.17.post_mlp.layernorm.weight,[4096],float32,16.0 KB,16384,0.069,0.06,0.24,0.27,14304,0.873
decoder.layers.17.post.self_attn.layernorm.weight,[4096],float32,16.0 KB,16384,0.064,0.059,0.26,0.28,14320,0.874
decoder.layers.17.self_attention.linear_proj.weight,"[4096, 2048]",float32,32.0 MB,33554432,0.098,0.104,342.07,321.14,28238192,0.8416
decoder.layers.17.self_attention.linear_qkv.bias,[2304],float32,9.0 KB,9216,0.068,0.047,0.14,0.2,8480,0.9201
decoder.layers.17.self_attention.linear_qkv.layer_norm.weight,[4096],float32,16.0 KB,16384,0.063,0.061,0.26,0.27,14352,0.876
decoder.layers.17.self_attention.linear_qkv.weight,"[2304, 4096]",float32,36.0 MB,37748736,0.106,0.106,355.47,357.48,32082832,0.8499
decoder.layers.18.mlp.linear_fc1.layer_norm.weight,[4096],float32,16.0 KB,16384,0.063,0.062,0.26,0.26,14320,0.874
decoder.layers.18.mlp.linear_fc1.weight,"[13696, 4096]",float32,214.0 MB,224395264,0.27,0.238,830.64,941.77,188628592,0.8406
decoder.layers.18.mlp.linear_fc2.weight,"[4096, 6848]",float32,107.0 MB,112197632,0.173,0.139,647.21,808.07,94278976,0.8403
decoder.layers.18.post_mlp.layernorm.weight,[4096],float32,16.0 KB,16384,0.069,0.059,0.24,0.28,14304,0.873
decoder.layers.18.post.self_attn.layernorm.weight,[4096],float32,16.0 KB,16384,0.069,0.059,0.24,0.28,14320,0.874
decoder.layers.18.self_attention.linear_proj.weight,"[4096, 2048]",float32,32.0 MB,33554432,0.102,0.104,328.2,322.74,28374144,0.8456
decoder.layers.18.self_attention.linear_qkv.bias,[2304],float32,9.0 KB,9216,0.059,0.052,0.16,0.18,8480,0.9201
decoder.layers.18.self_attention.linear_qkv.layer_norm.weight,[4096],float32,16.0 KB,16384,0.064,0.059,0.26,0.28,14336,0.875
decoder.layers.18.self_attention.linear_qkv.weight,"[2304, 4096]",float32,36.0 MB,37748736,0.103,0.107,366.02,353.56,32136256,0.8513
decoder.layers.19.mlp.linear_fc1.layer_norm.weight,[4096],float32,16.0 KB,16384,0.064,0.062,0.26,0.27,14336,0.875
decoder.layers.19.mlp.linear_fc1.weight,"[13696, 4096]",float32,214.0 MB,224395264,0.282,0.235,795.86,953.8,188547488,0.8402
decoder.layers.19.mlp.linear_fc2.weight,"[4096, 6848]",float32,107.0 MB,112197632,0.171,0.137,657.46,820.0,94255104,0.8401
decoder.layers.19.post_mlp.layernorm.weight,[4096],float32,16.0 KB,16384,0.064,0.059,0.26,0.28,14288,0.8721
decoder.layers.19.post.self_attn.layernorm.weight,[4096],float32,16.0 KB,16384,0.065,0.059,0.25,0.28,14320,0.874
decoder.layers.19.self_attention.linear_proj.weight,"[4096, 2048]",float32,32.0 MB,33554432,0.096,0.104,348.16,321.87,28224960,0.8412
decoder.layers.19.self_attention.linear_qkv.bias,[2304],float32,9.0 KB,9216,0.065,0.05,0.14,0.19,8496,0.9219
decoder.layers.19.self_attention.linear_qkv.layer_norm.weight,[4096],float32,16.0 KB,16384,0.063,0.062,0.26,0.27,14320,0.874
decoder.layers.19.self_attention.linear_qkv.weight,"[2304, 4096]",float32,36.0 MB,37748736,0.101,0.104,374.66,361.88,32092112,0.8502
decoder.layers.1.mlp.linear_fc1.layer_norm.weight,[4096],float32,16.0 KB,16384,0.064,0.06,0.26,0.27,14432,0.8809
decoder.layers.1.mlp.linear_fc1.weight,"[13696, 4096]",float32,214.0 MB,224395264,0.272,0.241,826.4,929.23,189263072,0.8434
decoder.layers.1.mlp.linear_fc2.weight,"[4096, 6848]",float32,107.0 MB,112197632,0.169,0.14,663.58,802.39,94786000,0.8448
decoder.layers.1.post_mlp.layernorm.weight,[4096],float32,16.0 KB,16384,0.065,0.062,0.25,0.27,14320,0.874
decoder.layers.1.post.self_attn.layernorm.weight,[4096],float32,16.0 KB,16384,0.069,0.062,0.24,0.26,14320,0.874
decoder.layers.1.self_attention.linear_proj.weight,"[4096, 2048]",float32,32.0 MB,33554432,0.096,0.104,349.14,321.47,28334448,0.8444
decoder.layers.1.self_attention.linear_qkv.bias,[2304],float32,9.0 KB,9216,0.067,0.047,0.14,0.2,8480,0.9201
decoder.layers.1.self_attention.linear_qkv.layer_norm.weight,[4096],float32,16.0 KB,16384,0.063,0.06,0.26,0.27,14432,0.8809
decoder.layers.1.self_attention.linear_qkv.weight,"[2304, 4096]",float32,36.0 MB,37748736,0.108,0.106,349.84,356.37,32072112,0.8496
decoder.layers.20.mlp.linear_fc1.layer_norm.weight,[4096],float32,16.0 KB,16384,0.069,0.059,0.24,0.28,14320,0.874
decoder.layers.20.mlp.linear_fc1.weight,"[13696, 4096]",float32,214.0 MB,224395264,0.271,0.24,827.0,936.38,188665776,0.8408
decoder.layers.20.mlp.linear_fc2.weight,"[4096, 6848]",float32,107.0 MB,112197632,0.17,0.138,659.97,815.62,94278400,0.8403
decoder.layers.20.post_mlp.layernorm.weight,[4096],float32,16.0 KB,16384,0.064,0.066,0.26,0.25,14320,0.874
decoder.layers.20.post.self_attn.layernorm.weight,[4096],float32,16.0 KB,16384,0.064,0.061,0.26,0.27,14320,0.874
decoder.layers.20.self_attention.linear_proj.weight,"[4096, 2048]",float32,32.0 MB,33554432,0.096,0.103,347.92,326.73,28198256,0.8404
decoder.layers.20.self_attention.linear_qkv.bias,[2304],float32,9.0 KB,9216,0.066,0.046,0.14,0.2,8416,0.9132
decoder.layers.20.self_attention.linear_qkv.layer_norm.weight,[4096],float32,16.0 KB,16384,0.065,0.06,0.25,0.27,14320,0.874
decoder.layers.20.self_attention.linear_qkv.weight,"[2304, 4096]",float32,36.0 MB,37748736,0.108,0.104,349.92,363.27,32045280,0.8489
decoder.layers.21.mlp.linear_fc1.layer_norm.weight,[4096],float32,16.0 KB,16384,0.063,0.059,0.26,0.28,14320,0.874
decoder.layers.21.mlp.linear_fc1.weight,"[13696, 4096]",float32,214.0 MB,224395264,0.275,0.237,815.04,945.05,188843504,0.8416
decoder.layers.21.mlp.linear_fc2.weight,"[4096, 6848]",float32,107.0 MB,112197632,0.175,0.144,641.74,777.64,94250576,0.84
decoder.layers.21.post_mlp.layernorm.weight,[4096],float32,16.0 KB,16384,0.064,0.059,0.26,0.28,14320,0.874
decoder.layers.21.post.self_attn.layernorm.weight,[4096],float32,16.0 KB,16384,0.063,0.062,0.26,0.26,14320,0.874
decoder.layers.21.self_attention.linear_proj.weight,"[4096, 2048]",float32,32.0 MB,33554432,0.097,0.101,344.24,331.48,28446832,0.8478
decoder.layers.21.self_attention.linear_qkv.bias,[2304],float32,9.0 KB,9216,0.06,0.047,0.15,0.2,8480,0.9201
decoder.layers.21.self_attention.linear_qkv.layer_norm.weight,[4096],float32,16.0 KB,16384,0.07,0.059,0.23,0.28,14304,0.873
decoder.layers.21.self_attention.linear_qkv.weight,"[2304, 4096]",float32,36.0 MB,37748736,0.102,0.109,368.46,346.9,32206688,0.8532
decoder.layers.22.mlp.linear_fc1.layer_norm.weight,[4096],float32,16.0 KB,16384,0.068,0.059,0.24,0.28,14320,0.874
decoder.layers.22.mlp.linear_fc1.weight,"[13696, 4096]",float32,214.0 MB,224395264,0.274,0.235,820.2,956.75,188941008,0.842
decoder.layers.22.mlp.linear_fc2.weight,"[4096, 6848]",float32,107.0 MB,112197632,0.169,0.141,664.97,794.81,94250976,0.84
decoder.layers.22.post_mlp.layernorm.weight,[4096],float32,16.0 KB,16384,0.07,0.059,0.23,0.28,14304,0.873
decoder.layers.22.post.self_attn.layernorm.weight,[4096],float32,16.0 KB,16384,0.069,0.06,0.24,0.27,14320,0.874
decoder.layers.22.self_attention.linear_proj.weight,"[4096, 2048]",float32,32.0 MB,33554432,0.1,0.102,334.32,328.59,28190848,0.8402
decoder.layers.22.self_attention.linear_qkv.bias,[2304],float32,9.0 KB,9216,0.059,0.047,0.16,0.2,8416,0.9132
decoder.layers.22.self_attention.linear_qkv.layer_norm.weight,[4096],float32,16.0 KB,16384,0.064,0.065,0.26,0.25,14304,0.873
decoder.layers.22.self_attention.linear_qkv.weight,"[2304, 4096]",float32,36.0 MB,37748736,0.102,0.105,370.24,359.01,32019504,0.8482
decoder.layers.23.mlp.linear_fc1.layer_norm.weight,[4096],float32,16.0 KB,16384,0.071,0.059,0.23,0.28,14320,0.874
decoder.layers.23.mlp.linear_fc1.weight,"[13696, 4096]",float32,214.0 MB,224395264,0.272,0.236,824.43,952.47,188813680,0.8414
decoder.layers.23.mlp.linear_fc2.weight,"[4096, 6848]",float32,107.0 MB,112197632,0.171,0.139,657.41,809.43,94249440,0.84
decoder.layers.23.post_mlp.layernorm.weight,[4096],float32,16.0 KB,16384,0.065,0.059,0.25,0.28,14336,0.875
decoder.layers.23.post.self_attn.layernorm.weight,[4096],float32,16.0 KB,16384,0.068,0.059,0.24,0.28,14336,0.875
decoder.layers.23.self_attention.linear_proj.weight,"[4096, 2048]",float32,32.0 MB,33554432,0.097,0.104,344.52,324.14,28152288,0.839
decoder.layers.23.self_attention.linear_qkv.bias,[2304],float32,9.0 KB,9216,0.06,0.046,0.15,0.2,8432,0.9149
decoder.layers.23.self_attention.linear_qkv.layer_norm.weight,[4096],float32,16.0 KB,16384,0.069,0.059,0.24,0.28,14336,0.875
decoder.layers.23.self_attention.linear_qkv.weight,"[2304, 4096]",float32,36.0 MB,37748736,0.102,0.105,371.86,358.44,32066864,0.8495
decoder.layers.24.mlp.linear_fc1.layer_norm.weight,[4096],float32,16.0 KB,16384,0.069,0.059,0.24,0.28,14320,0.874
decoder.layers.24.mlp.linear_fc1.weight,"[13696, 4096]",float32,214.0 MB,224395264,0.27,0.236,831.79,951.05,188865776,0.8417
decoder.layers.24.mlp.linear_fc2.weight,"[4096, 6848]",float32,107.0 MB,112197632,0.17,0.139,661.22,805.06,94280320,0.8403
decoder.layers.24.post_mlp.layernorm.weight,[4096],float32,16.0 KB,16384,0.064,0.06,0.26,0.27,14320,0.874
decoder.layers.24.post.self_attn.layernorm.weight,[4096],float32,16.0 KB,16384,0.068,0.061,0.24,0.27,14336,0.875
decoder.layers.24.self_attention.linear_proj.weight,"[4096, 2048]",float32,32.0 MB,33554432,0.101,0.104,333.69,321.17,28236608,0.8415
decoder.layers.24.self_attention.linear_qkv.bias,[2304],float32,9.0 KB,9216,0.059,0.053,0.16,0.17,8432,0.9149
decoder.layers.24.self_attention.linear_qkv.layer_norm.weight,[4096],float32,16.0 KB,16384,0.07,0.059,0.23,0.28,14304,0.873
decoder.layers.24.self_attention.linear_qkv.weight,"[2304, 4096]",float32,36.0 MB,37748736,0.103,0.108,368.12,350.94,32049072,0.849
decoder.layers.25.mlp.linear_fc1.layer_norm.weight,[4096],float32,16.0 KB,16384,0.063,0.06,0.26,0.27,14288,0.8721
decoder.layers.25.mlp.linear_fc1.weight,"[13696, 4096]",float32,214.0 MB,224395264,0.275,0.236,815.21,949.34,189082608,0.8426
decoder.layers.25.mlp.linear_fc2.weight,"[4096, 6848]",float32,107.0 MB,112197632,0.17,0.139,659.56,808.65,94353936,0.841
decoder.layers.25.post_mlp.layernorm.weight,[4096],float32,16.0 KB,16384,0.064,0.063,0.26,0.26,14304,0.873
decoder.layers.25.post.self_attn.layernorm.weight,[4096],float32,16.0 KB,16384,0.065,0.059,0.25,0.28,14320,0.874
decoder.layers.25.self_attention.linear_proj.weight,"[4096, 2048]",float32,32.0 MB,33554432,0.096,0.102,349.62,327.94,28262992,0.8423
decoder.layers.25.self_attention.linear_qkv.bias,[2304],float32,9.0 KB,9216,0.066,0.047,0.14,0.2,8416,0.9132
decoder.layers.25.self_attention.linear_qkv.layer_norm.weight,[4096],float32,16.0 KB,16384,0.063,0.065,0.26,0.25,14304,0.873
decoder.layers.25.self_attention.linear_qkv.weight,"[2304, 4096]",float32,36.0 MB,37748736,0.107,0.106,353.71,356.51,32061856,0.8493
decoder.layers.26.mlp.linear_fc1.layer_norm.weight,[4096],float32,16.0 KB,16384,0.07,0.06,0.23,0.27,14304,0.873
decoder.layers.26.mlp.linear_fc1.weight,"[13696, 4096]",float32,214.0 MB,224395264,0.276,0.235,814.0,953.37,188999520,0.8423
decoder.layers.26.mlp.linear_fc2.weight,"[4096, 6848]",float32,107.0 MB,112197632,0.171,0.139,655.42,808.63,94375152,0.8412
decoder.layers.26.post_mlp.layernorm.weight,[4096],float32,16.0 KB,16384,0.065,0.059,0.25,0.28,14304,0.873
decoder.layers.26.post.self_attn.layernorm.weight,[4096],float32,16.0 KB,16384,0.069,0.061,0.24,0.27,14304,0.873
decoder.layers.26.self_attention.linear_proj.weight,"[4096, 2048]",float32,32.0 MB,33554432,0.105,0.102,319.17,330.22,28204624,0.8406
decoder.layers.26.self_attention.linear_qkv.bias,[2304],float32,9.0 KB,9216,0.066,0.047,0.14,0.2,8432,0.9149
decoder.layers.26.self_attention.linear_qkv.layer_norm.weight,[4096],float32,16.0 KB,16384,0.063,0.061,0.26,0.27,14288,0.8721
decoder.layers.26.self_attention.linear_qkv.weight,"[2304, 4096]",float32,36.0 MB,37748736,0.106,0.104,356.91,363.78,32071520,0.8496
decoder.layers.27.mlp.linear_fc1.layer_norm.weight,[4096],float32,16.0 KB,16384,0.07,0.059,0.23,0.28,14288,0.8721
decoder.layers.27.mlp.linear_fc1.weight,"[13696, 4096]",float32,214.0 MB,224395264,0.27,0.236,831.65,950.95,188744336,0.8411
decoder.layers.27.mlp.linear_fc2.weight,"[4096, 6848]",float32,107.0 MB,112197632,0.168,0.141,669.11,793.67,94352752,0.841
decoder.layers.27.post_mlp.layernorm.weight,[4096],float32,16.0 KB,16384,0.064,0.066,0.26,0.25,14304,0.873
decoder.layers.27.post.self_attn.layernorm.weight,[4096],float32,16.0 KB,16384,0.07,0.061,0.23,0.27,14304,0.873
decoder.layers.27.self_attention.linear_proj.weight,"[4096, 2048]",float32,32.0 MB,33554432,0.101,0.104,330.82,323.96,28176064,0.8397
decoder.layers.27.self_attention.linear_qkv.bias,[2304],float32,9.0 KB,9216,0.059,0.052,0.16,0.18,8464,0.9184
decoder.layers.27.self_attention.linear_qkv.layer_norm.weight,[4096],float32,16.0 KB,16384,0.063,0.059,0.26,0.28,14304,0.873
